A. Erdem Sariyuce,[University at Buffalo]
Luca Bonomi,"[UCSD, USA]"
Luca Cagliero,"[Politecnico di Torino, Politecnico di Torino, Italy]"
Luca Foschini,[Sage Bionetworks]
Lucas Mentch,[University of Pittsburgh]
Luciano Caroprese,[Unknown]
Ludek Cigler,[Pinterest Inc.]
Ludovico Boratto,"[University of Cagliari, EURECAT, Centre Tecnológic de Catalunya, University of CagliariEurecat, Technology Centre of Catalonia, Spain]"
Luis Torgo,[Dalhousie University]
Luiz Merschmann,"[Federal University of Lavras, Brazil]"
Luiza Antonie,"[University of Guelph, Canada]"
Lukas Pensel,[Unknown]
Luke Yerbury,[Unknown]
Lulu Zhang,[Alibaba Group]
Lulwah AlKulaib,[Unknown]
Luna Dong,[FACEBOOK]
M. José Ramírez-Quintana,[Technical University of Valencia]
M. Maruf,[Virginia Tech]
Maguelonne Teisseire,"[TETIS - Irstea, TETIS – Irstea, TETIS – Irstea, France]"
Mahashweta Das,"[Visa, USA]"
Mahin Ramezani,[Unknown]
Mahito Sugiyama,[National Institute of Informatics]
Mahmud Shahriar Hossain,"[University of Texas at El Paso, University of Texas at El Paso, USA]"
Malik AL-Essa,[Unknown]
Malik Altakrori,[Unknown]
Mandar Chaudhary,[eBay]
Manish Bhanu,"[IIT Patna, India]"
Manish Gupta,"[Microsoft, India, Microsoft]"
Manoj John,[Unknown]
Manuel Gomez Rodriguez,"[MPI for Software Systems, Germany, MPI for Software Systems]"
Maolin Wang,[Unknown]
Maosen Li,[Xidian University]
Maoying Qiao,"[Australian Catholic University, the Commonwealth Scientific and Industrial Research Organisation, Commonwealth Scientific and Industrial Research Organisation, Australia]"
Marc Plantevit,"[EPITA, Universite de Lyon]"
Marcin Sydow,"[Polish-Japanese Inst. of CS and ICS Polish Academy of Sciences, Warsaw, PJIIT and ICS PAS, Warsaw]"
Marco Botta,"[University?of Torino, University of Torino, Italy]"
Marco Miglionico,[Unknown]
Marco Minici,[Unknown]
Marcos Goncalves,[Universidade Federal de Minas Gerais]
Maria Glenski,[Pacific Northwest National Laboratory]
Maria Halkidi,"[University of Piraeus, University of Piraeus, Greece]"
Maria Luisa,[Sapino U. Torino]
Maria Luisa Sapino,"[U. Torino, Italy]"
Marian Scuturici,[Unknown]
Marinka Zitnik,[Harvard University]
Mario Alfonso Padro,[Unknown]
Mario Alfonso Prado,[Unknown]
Marius Kloft,"[TU Kaiserslautern, Germany]"
Mark Carman,"[Monash University, Australia, Politecnico di Milano]"
Mark Heimann,[Lawrence Livermore National Laboratory]
Mark Levene,"[Birkbeck, University of London]"
Marko Robnik-Sikonja,[University of Ljubljana]
Martin Atzmueller,"[Osnabrük University, Tilburg University, The Netherlands, Osnabrück University, Tilburg University]"
Martin Becker,"[Department of Anesthesiology, Pain, and Perioperative Medicine, Stanford University]"
Martin Ester,[Simon Fraser University]
Martin Perdacher,[Unknown]
Martin Teuenbach,[Unknown]
Masahiro Terabe,"[Chugai Pharmaceutical Co., Ltd., Chugai Pharmaceutical Co., Ltd., Japan]"
Masayuki Karasuyama,[Nagoya Institute of Technology]
Massimo Guarascio,[Unknown]
Matej Martinc,[Unknown]
Matej Mihelcic,[University of Zagreb]
Matej Mihelčić,"[Department of Mathematics, Faculty of Science, University of Zagreb]"
Matheus Araujo,[Unknown]
Matja Gams,"[Jozef Stefan Institute, Slovenia]"
Matja? Gams,[Jozef Stefan Institute]
Matjaz Gams,[Jozef Stefan Institute]
Matteo Riondato,"[Amherst College, Amherst College, USA]"
Matthias Renz,"[Universitaet Kiel, Universitaet Kiel, Germany]"
Matthias Roussel,[Unknown]
Matthias Schubert,"[MCML, LMU Munich, Ludwig-Maximilians-Universität München, Ludwig Maximilian University of Munich, Germany]"
Matthijs van Leeuwen,"[Leiden Institute of Advanced Computer, LIACS, Leiden University, The Netherlands, Leiden Institute of Advanced Computer Science, The Netherlands]"
Mattia Cerrato,[Unknown]
Maurice Gunder,[Unknown]
Mauricio Pamplona,[Unknown]
Mauro Sozio,"[Telecom Paris, Institut Polytechnique de Paris, Télécom ParisTech]"
Maxwell McNeil,[University at Albany SUNY]
Maya Okawa,[NTT]
Md Liakat Ali,"[Assistant Professor, Rider University, USA]"
Md. Mahin,[Unknown]
Mei-Ling Shyu,"[University of Missouri-Kansas City, University of Miami]"
Meihui Zhang,[Beijing Institute of Technology]
Meikang Qiu,"[Professor, Augusta University, USA]"
Melanie Schaller,[Unknown]
Meng Fan,[Unknown]
Meng Jiang,[University of Notre Dame]
Meng Liu,[Texas A&M University]
Mengdi Huai,"[University of Virginia, Unknown]"
Mengya Han,[Unknown]
Mengying Sun,[Unknown]
Mengyue Hang,[Purdue University]
Mert Kosan,[UC Santa Barbara]
Mi Zhang,[Unknown]
Mi-Yen Yeh,"[Academia Sinica, Institute of Information Science, Academia Sinica]"
Miao Xu,[University of Queensland]
Michael Berthold,[University of Konstanz]
Michael E. Houle,[National Institute of Informatics]
Michael Hedderich,"[Saarland University, Saarland Informatics Campus]"
Michael Houle,[Unknown]
Michael Mahoney,"[University of California, Berkeley]"
Michael Mathioudakis,[University of Helsinki]
Michael Mayo,[University of Waikato]
Michael Rapp,[TU Darmstadt]
Michael Shekelyan,[Unknown]
Michail Vlachos,"[University of Lausanne, Faculty of Business and Economics]"
Michalis Vazirgiannis,"[Department of Informatics, AUEB]"
Michalis Vlachos,"[University of Lausanne, University of Lausanne, Switzerland]"
Michelangelo Ceci,"[University of Bari Aldo Moro, University of Bari, University of Bari, Italy]"
Michele Coscia,"[Harvard University, Harvard University, USA]"
Mihai Cucuringu,[University of Oxford and The Alan Turing Institute]
Mikhail Khodak,[Carnegie Mellon University]
Milad Eftekhar,[Google]
Miles Q. Li,[Unknown]
Milos Radavanovic,[University of Novi Sad]
Miloš Radovanović,[University of Novi Sad]
Min Shi,[Florida Atlantic University]
Min-Hwan Oh,[Columbia University]
Min-Ling Zhang,"[School of Computer Science and Engineering, Southeast University, Southeast University, China, School of Computer Science and Engineering, Southeast University, China, Southeast University]"
Min-Soo Kim,"[DGIST, DGIST, Korea]"
Ming Ding,[Tsinghua University]
Ming Jiang,[Lawrence Livermore National Laboratory]
Ming Li,"[Nanjing University, Nanjing University, China]"
Ming Shao,"[University of Massachusetts Dartmouth, University of Massachusetts Dartmouth, USA, UMass Dartmouth]"
Ming-Syan Chen,[National Taiwan University]
Minghui Qiu,[Alibaba]
Mingming Gong,"[University of Melbourne, University of Pittsburgh, USA]"
Mingshan Hee,[Unknown]
Mingsheng Long,[Tsinghua University]
Mingsong Chen,"[Professor, East China Normal University, China]"
Mingxuan Ju,[Unknown]
Mingxuan Sun,[Louisiana State University]
Mingyu Fan,"[Wenzhou University, China]"
Mingyuan Ma,[Duke University]
Mingzhe Li,[Peking University]
Minjing Dong,[Unknown]
Minos Garofalakis,"[ATHENA Research Center & Technical University of Crete, Greece]"
Minqing Hu,"[Signifyd, MySpace, MySpace, USA]"
Mirco Nanni,"[KDDLab, ISTI-CNR Pisa, KDDLab, ISTI-CNR Pisa, Italy, ISTI-CNR Pisa, Italy, KDD-Lab ISTI-CNR Pisa]"
Mohammad Akbari,[University College London]
Mohammad El-Hajj,"[Grant Macewan University, Grant Macewan University, Canada]"
Mohammad Hasan,[Indiana University Purdue University Indianapolis]
Mohammad M. Masud,[United Arab Emirates University]
Mohammed Aldahash,[Unknown]
Mohammed Zaki,[Rensselaer Polytechnic Institute]
Monica Bian,[Unknown]
Monika Akbar,[Unknown]
Mowd Chen,[Unknown]
Mu Qiao,"[IBM Almaden Research Center, IBM Almaden Research Center, USA]"
Mubbasir Kapadia,"[Rutgers University, USA]"
Muhammad Asif,[Unknown]
Muhammad Bilal Zafar,"[Amazon Web Services, Bosch Center for Artificial Intelligence]"
Muhao Chen,[University of Pennsylvania]
Muneeb Ul Hassan,[Unknown]
Murat Ayhan,[Unknown]
Murat Kantarcioglu,[The University of Texas at Dallas]
Murilo Naldi,[Unknown]
Myra Spiliopoulou,[University of Magdeburg]
Najeeb Jebreel,[Unknown]
Najmeh Sadoughi,[Petuum]
Nan Tang,"[Qatar Computing Research Institute, HBKU]"
Nan Zhang,"[American University, Kogod School of Business, American University]"
Nannan Wang,"[Xidian University, China]"
Naoki Abe,"[IBM Thomas J. Watson Research Center, USA]"
Narayan Bhamidipati,[Yahoo!]
Narayanan C Krishnan,[IIT Ropar]
Naren Ramakrishnan,[Virginia Tech]
Nastaran Okati,[MPI-SWS]
Nayyar Zaidi,"[Monash University, Monash University, Australia, Deakin University, Australia]"
Neil Gong,[Duke University]
Neil Kpamegan,[Unknown]
Neil Shah,"[Snap Inc., Snap Inc, USA, Snap Research]"
Neil Zhenqiang Gong,[Duke University]
Nemanja Djuric,"[Aurora Innovation, Uber ATG, USA]"
Nesreen Ahmed,[Intel]
NhatHai Phan,"[New Jersey Institute of Technology, NJIT, NJIT, USA]"
Niall Twomey,[University of Bristol]
Nicholas Botzer,[Unknown]
Nicholas Jing Yuan,[Huawei]
Nicholas Monath,[University of Massachusetts Amherst]
Nicholas Skapura,[Unknown]
Nicholas Yuan,[Microsoft Research]
Nick Koudas,"[University of Toronto, Canada, University of Toronto]"
Nick Lim,[University of Waikato]
Nico Goernitz,[123ai.de]
Nico Piatkowski,"[TU Dortmund, TU Dortmund, Germany, Fraunhofer IAIS, AI Group, TU Dortmund]"
Nicola Fanizzi,"[University of Bari, Italy]"
Nicolas Grislain,[Sarus]
Nicolas Kourtellis,[Telefonica Research]
Nicolas Lachiche,[University of Strasbourg]
Nida Meddouri,[EPITA Research Laboratory (LRE)]
Nikhil Muralidhar,[Virginia Tech]
Niko Amann,[Unknown]
Nikolai Fetisov,[Unknown]
Nikolaj Tatti,"[University of Helsinki, Helsinki University]"
Nikolaos Tziortziotis,"[Jellyfish, Tradelab]"
Nikos Parotsidis,[Google]
Nils M. Kriege,"[TU Dortmund University, TU Dortmund University, Germany]"
Nina Christine Hubig,[Clemson University]
Nina Grgić-Hlača,[MPI-SWS]
Nina Hubig,"[Clemson University, Clemson University, USA]"
Ning Liu,[Shandong University]
Ning Zhong,"[Maebashi Institute of Technology, Japan, Dept of Life Science and Informatics, Maebashi Institute of Technology, Japan]"
Ninghao Liu,[Texas A&M University]
Nitesh Chawla,"[University of Notre Dame, USA, UNIVERSITY OF NOTRE DAME]"
Nitin Indurkhya,"[AI Data-Miner LLC, AI Data-Miner LLC, USA]"
Noriaki Kawamae,[NTT Comware]
Noseong Park,"[George Mason University, George Mason University, USA, Yonsei University, Korea]"
Nuno Moniz,"[INESC TEC & University of Porto, INESC TEC / University of Porto]"
Ole Mengshoel,[Norwegian University of Science and Technology]
Olfa Nasraoui,[University of Louisville]
Olivera Kotevska,"[Oak Ridge National Laboratory, Oak Ridge National Laboratory, USA]"
Oluwagbemiga Ajayi,[Unknown]
Omid Isfahani Alamdari,[Unknown]
Osman Abul,"[TOBB University, Turkey]"
Osmar Zaiane,"[University of Alberta, Canada]"
Padipat Sitkrongwong,[Unknown]
Pan Zeng,[Unknown]
Panagiotis Karras,"[Aarhus University, Aarhus University, Denmark]"
Panagiotis Mandros,"[Harvard University, CISPA Helmholtz Center for Information Security]"
Panagiotis Papapetrou,"[Stockholm University, Stockholm University, Sweden]"
Panayiotis Tsaparas,[University of Ioannina]
Pang-Ning Tan,"[Michigan State University, Michigan State University, USA]"
Panos Kalnis,"[King Abdullah University of Science and Technology, King Abdullah University of Science and Technology, Saudi Arabia]"
Paolo Bethaz,[Unknown]
Paolo Cintia,[Unknown]
Paolo Cremonesi,[Politecnico di Milano]
Paolo Garza,[Politecnico di Torino]
Paolo Mignone,[Unknown]
Paolo Papotti,[EURECOM]
Paolo Rommel Sanchez,[Unknown]
Paridhi Maheshwari,[Adobe Research]
Parikshit Ram,[IBM Research]
Parvaneh Shayegh,[Unknown]
Pascal Weber,[Unknown]
Pascal Welke,"[University of Bonn, Germany]"
Pasin Manurangsi,[Google]
Pasquadibisceglie,[Unknown]
Pasquale Minervini,"[University College London, University College London, UK]"
Patrick Flynn,[Unknown]
Paul Amalaman,[Unknown]
Paula Branco,[EECS University of Ottawa]
Pauli Miettinen,"[Max Planck Institute for Informatics, Germany, University of Eastern Finland]"
Pavel Senin,"[Los Alamos National Laboratory, Los Alamos National Laboratory, USA]"
Pawel Bielski,[Unknown]
Payam Karisani,[Emory University]
Pedro Henriques Abreu,"[University of Coimbra, University of Coimbra, Portugal]"
Peer Kroger,[Kiel University]
Peer Kröger,[Christian-Albrechts-Universität zu Kiel]
Pegah Hozhabrierdi,[Unknown]
Peibei Shi,[Facebook]
Peilin Yang,[Twitter Inc.]
Peipei Li,"[Hefei University of Techonology, Hefei University of Technology, Hefei University of Technology, China]"
Peixiang Zhao,"[Florida State University, Florida State University, USA]"
Peizhao Li,[Brandeis University]
Peng Bao,[Beijing Jiaotong University]
Peng Cui,"[Tsinghua University, China, Tsinghua University]"
Peng Hao,[Beihang University]
Peng Wang,"[shopee.com, Alibaba Group]"
Peng Wei,[George Washington University]
Peng Zhang,"[Guangzhou University, Xian Jiatong University, Zhipu.AI, Ant Financial Services Group]"
Pengtao Dang,[Indiana University]
Pengyang Wang,[University of Macau]
Pengzhan Guo,[Unknown]
Penny Zhang,[Unknown]
Petko Bogdanov,"[Department of Computer Science, University at Albany, SUNY, University at Albany-SUNY, USA, University at Albany, SUNY, USA, University at Albany, University at Albany-SUNY]"
Petr Chunaev,[ITMO University]
Petros Zerfos,[IBM T. J. Watson Research Centre]
Philip Chan,"[Florida Institute of Technology, Florida Institute of Technology, USA]"
Philip S. Yu,"[University of Illinois at Chicago, University of Illinois at Chicago, USA]"
Philip Yu,[University of Illinois at Chicago]
Philippe Cudré-Mauroux,"[University of Fribourg, Switzerland]"
Pierre Faure-Giovagnoli,[Unknown]
Pieter Delobelle,"[KU Leuven, Unknown]"
Ping Chen,"[University of Massachusetts Boston, University of Massachusetts Boston, USA]"
Ping Luo,"[Institute of Computing Technology, Chinese Academy of Sciences, Institute of Computing Technology, CAS; University of Chinese Academy of Sciences, China, Institute of Computing Technology, CAS; University of Chinese Academy of Sciences]"
Ping Zhang,"[The Ohio State University, The Ohio State University, USA]"
Pinghui Wang,[Xi'an Jiaotong University]
Porter Jenkins,[Brigham Young University]
Prashant Shiralkar,[Amazon]
Pravallika Devineni,[devinenip@ornl.gov]
Praveen Kolli,[Carnegie Mellon University]
Preslav Nakov,"[Qatar Computing Research Institute, HBKU]"
Pretom Roy-Ovi,[Unknown]
Priya Mani,[Unknown]
Qi He,[LinkedIn]
Qi Li,"[Western Kentucky University, USA, Iowa State, Iowa State University, Iowa state university]"
Qi Liu,"[University of Science and Technology of China, Anhui Province Key Lab. of Big Data Analysis and Application, University of Science and Technology of China, China]"
Qi Qian,[Alibaba Group]
Qi Wang,[Macquarie University]
Qi Zhou,[Mira Lab]
Qian Yang,[Tsinghua University]
Qiang Huang,[Jilin University]
Qiangqiang Yuan,"[Wuhan University, Wuhan University, China]"
Qianhui Liu,[Unknown]
Qianli Xing,[Macquarie University]
Qiao Kang,[Unknown]
Qin Zhang,[Shenzhen University]
Qing He,"[Institute of Computing Technology, Chinese Academy of Sciences, Institute of Computing Technology, Chinese Academy of Sciences, China]"
Qing Liao,"[Harbin Institute of Technology (Shenzhen), Harbin Institute of Technology (Shenzhen), China]"
Qingquan Song,[Texas A&M University]
Qingsong Wen,"[Alibaba DAMO Academy, USA, Alibaba DAMO Academy]"
Qingsong Zhang,"[Xidian University & JD Tech, School of Electronic Engineering, Xidian University]"
Qingyun Sun,[Beihang University]
Qingzhong Ai,[Unknown]
Qingzhong Wang,[Unknown]
Qiuhao Lu,[Unknown]
Quan M. Bui,[Lawrence Livermore National Laboratory]
Quanming Yao,[Tsinghua University]
Quanqing Xu,[Ant Group]
Quanquan Gu,"[University of California, Los Angeles, University of California, Los Angeles, USA]"
RAGHAVENDRA CHALAPATHY,[Data61 CSIRO Australia.]
Rabdolf Scholz,[Unknown]
Rabiul Awal,[Unknown]
Raghvendra Mall,"[Qatar Computing Research Institute, HBKU]"
Rahul Duggal,[Georgia Tech]
Rainer Gemulla,[University of Mannheim]
Rajeev Rastogi,"[Amazon, Amazon, India]"
Rajmonda Caceres,[MIT Lincoln Laboratory]
Ramachandra,[Unknown]
Ramakrishnan Kannan,[Oak Ridge National Laboratory]
Rami Haffar,[Unknown]
Ran Wolff,"[Yahoo, Israel, Yahoo]"
Randolf Scholz,[Unknown]
Ranga Raju Vatsavai,"[NC State University and Lirio LLC, NC State University, NC State University, USA]"
Raul Castro Fernandez,[The University of Chicago]
Raunak Sarbajna,[Unknown]
Ravi Kiran Thumma,[Unknown]
Ravi Kumar,[Google]
Raymond Chi Wing Wong,"[Hong Kong University of Science and Technology, Hong Kong University of Science and Technology, Hong Kong]"
Raymond Chi-Wing Wong,[The Hong Kong University of Science and Technology]
Raymond Ng,[UBC]
Rebollo-Monedero,[Unknown]
Renato Assunção,"[Universidade Federal de Minas Gerais, Universidade Federal de Minas Gerais, Brazil]"
Renato Vimieiro,[Unknown]
Reshul Dani,[Google]
Rex (Zhitao Ying),[Yale School of Engineering]
Reynold Cheng,"[The University of Hong Kong, China, The University of Hong Kong]"
Reza Zafarani,"[Syracuse University, Syracuse University, USA]"
Ricardo Campello,[University of Newcastle]
Ricardo Prudencio,"[Informatics Center, UFPE]"
Ricardo Silva Carvalho,"[Unknown, Simon Fraser University]"
Riccardo Guidotti,[University of Pisa]
Riccardo Ortale,"[ICAR-CNR, ICAR-CNR, Italy]"
Rich Maclin,[University of Minnesota]
Richard Maclin,"[University of Minnesota-Duluth, University of Minnesota-Duluth, USA, University of Minnesota]"
Rikiya Takahashi,[Man AHL]
Rishabh Misra,[Twitter]
Rita Nogueira,[INESC TEC]
Rita P. Ribeiro,[University of Porto]
Ritwik Kumar,[NETFLIX]
Riwei Lai,[Unknown]
Robert Fritze,[Unknown]
Roberto Bayardo,"[Google, Google, USA]"
Robin Burke,"[University of Colorado, Unknown]"
Rohan Baxter,"[ATO, Australia]"
Rohan Putatunda,[Unknown]
Romero,[Unknown]
Ron Bekkerman,"[Cherre, Cherre Inc]"
Ronaldo Prati,"[Universidade Federal do ABC - UFABC, Universidade Federal do ABC – UFABC, Universidade Federal do ABC – UFABC, Brazil]"
Ronen Feldman,[Hebrew University]
Rong Pan,[Sun Yat-sen University]
Rong Zhu,[Alibaba Group]
Rong-Hua Li,[Beijing Institute of Technology]
Rosalba Giugno,[University of Verona]
Rose Yu,[University of Southern California]
Roshni Iyer,"[UC Los Angeles, University of California, Los Angeles]"
Roy Ka-Wei Lee,"[University of Saskatchewan, University of Saskatchewan, Canada]"
Ruggero G. Pensa,"[University of Torino, Italy Department of Computer Science, University of Torino, Italy]"
Rui Chen,"[Samsung Research America, Mountain View, Samsung Research America, Mountain View, USA]"
Rui Kuang,"[University of Minnesota, Department of Computer Science and Engineering, University of Minnesota Twin Cities]"
Rui Li,[Shanghai Jiao Tong University]
Rui Meng,[BNU-HKBU United International College]
Rui Shi,[Unknown]
Rui Yan,"[Renmin University of China, Peking University]"
Rui Zhou,[Swinburne University of Technology]
Ruidong Jin,[Unknown]
Ruihong Qiu,[Unknown]
Rumi Chunara,[NEW YORK UNIVERSITY]
Runxue Bao,[University of Pittsburgh]
Runze Wu,"[NetEase Fuxi AI Lab, Netease Research Institute, Fuxi AI Lab, Netease Games, China, Fuxi AI Lab, NetEase Inc.]"
Runzhe Wan,[North Carolina State University]
Ruobing Xie,"[WeChat Search Application Department, Tencent]"
Ruocheng Guo,"[Bytedance AI Lab, UK, Arizona State University]"
Ruohan Zhan,[Stanford University]
Ruoming Jin,"[Kent State University, Kent State University, USA]"
Ruoqi Liu,[The Ohio State University]
Ruqian Lu,"[Academician, Chinese Academy of Sciences, China]"
Ryan A Rossi,[Adobe Research]
Ryan Benton,"[Computer Science, School of Computing, University of South Alabama, Unknown, Computer Science, School of Computing, University of South Alabama, USA]"
Ryan McBride,[Simon Fraser University]
Ryan Mcbride,[Simon Fraser University]
S.S. Ravi,"[University at Albany – SUNY, Albany, NY, USA]"
Sadaf Halim,[Unknown]
Sadok Ben Yahia,"[Universita de tunis ElManar, LIPAH, Universitde tunis ElManar, LIPAH, Tunisia, Université de Tunis ElManar, LIPAH, Tunisia]"
Sahil Manchanda,[IIT Delhi]
Sai Wu,"[Zhejiang Univ, Zhejiang University]"
Sainyam Galhotra,[University of Chicago]
Saket Sathe,"[IBM Thomas J. Watson, IBM]"
Salvatore Greco,[Unknown]
Salvatore Orlando,"[Ca’ Foscari University of Venice, Ca’ Foscari University of Venice, Italy]"
Sam Han,[WASHINGTON POST]
Samet Oymak,"[University of California, Riverside]"
Sami Khenissi,[University of Louisville]
Sandeep Hans,[IBM Research]
Sandipan Sikdar,[RWTH Aachen]
Sang Wook Kim,"[Hanyang University, Seoul, Korea, Hanyang University, Seoul, Korea, Korea]"
Sang-Wook Kim,"[Hanyang University, Seoul, Korea]"
Sanghwan Jang,[Unknown]
Sanjay Chawla,"[Qatar Computing Research Institute, HBKU]"
Sanjay Purushotham,"[University of Maryland Baltimore County, USA]"
Sanjay Ranka,"[University of Florida, USA]"
Saravanan Thirumuruganathan,"[QCRI, Qatar Computing Research Institute]"
Sarika Kondra,[Unknown]
Saso Dzeroski,"[Jozef Stefan Institute, Jozef Stefan Institute, Slovenia]"
Satadisha Saha,[Unknown]
Sathappan Muthiah,"[Virginia Tech, Virginia Tech, USA]"
Satoshi Hara,[Osaka University]
Satya Katragadda,[Unknown]
Satyaki Sikdar,[Unknown]
Satyanarayana,[Unknown]
Saurabh Agrawal,"[Amazon, USA]"
Saurabh Sawlani,[Carnegie Mellon University]
Saurabh Verma,[University of Minnesota]
Saurav Karmakar,"[GESIS - Leibniz-Institut für Sozialwissenschaften in Köln, GreyKarma Technologies]"
Sayan Ranu,"[Home Indian Institute of Technology Delhi, India, Indian Institute of Technology Delhi, India, IIT Delhi]"
Sebastian Ayala,[Unknown]
Sebastian Bruch,[Google Research]
Sebastian Moreno,"[Universidad Adolfo Ibáñez, Universidad Adolfo Ibanez, Universidad Adolfo Ibanez, Chile, Universidad Adolfo Ibañez]"
Sebastian Tschiatschek,"[University of Vienna, Austria]"
Segundo,[Unknown]
Sen Wang,"[University of Queensland, The University of Queensland, Australia, The University of Queensland]"
Sen Yang,[LinkedIn]
Senjuti Basu Roy,"[New Jersey Institute of Technology, New Jersey Institute of Technology, USA, NJIT]"
Senzhang Wang,"[Central South University, Nanjing University of Aeronautics and Astronautics, Nanjing University of Aeronautics and Astronautics, China]"
SeongKu Kang,[Unknown]
Sercan O. Arik,[Google]
Serdar Kadioglu,[Brown University]
Sergei Vassilvitskii,[Google]
Sergio Martínez,[Unknown]
Sha Cao,[Indiana University]
Shaaban Abbady,[Unknown]
Shahrzad Haddadan,[Brown university]
Shalini Pandey,"[University of Minnesota, Unknown]"
Shan Xue,[University of Wollongong]
Shandian Zhe,[University of Utah]
Shangqian Gao,[University of Pittsburgh]
Shangsong Liang,[Sun Yat-sen University]
Shanika Karunasekera,"[The University of Melbourne, Australia]"
Shanlei Mu,[Renmin University of China]
Shao-Yuan Li,[Nanjing University of Aeronautics and Astronautics]
Shaoxu Song,[Tsinghua University]
Shashi Shekhar,[University of Minnesota]
Shayan Jawed,[Unknown]
Shayok Chakraborty,"[Florida State University, USA, Florida State University]"
Shen Gao,[Peking University]
Shen Liang,[Unknown]
Shen Wang,"[UIC, University of Illinois at Chicago]"
Shen-Shyang Ho,"[Rowan University, Rowan University, USA]"
Sheng Li,[University of Georgia]
Sheng Wan,"[Nanjing University of Science and Technology, Unknown]"
Sheng-Jun Huang,"[Nanjing University of Aeronautics and Astronautics, China, Nanjing University of Aeronautics and Astronautics]"
Shenghua Bao,[AMAZON]
Shenghua Liu,"[Institute of Computing Technology, Chinese Academy of Science, Institute of Computing Technology, Chinese Academy of Sciences, China, Institute of Computing Technology, CAS, China]"
Shengwei Zhong,[Unknown]
Shenyang Huang,[Mila/McGill University]
Sheoyon Jhin,[Unknown]
Shi-ang Qi,[Unknown]
Shibo Yao,[Unknown]
Shichang Zhang,"[Unknown, University of California, Los Angeles]"
Shichao Zhang,"[Guangxi Key Lab of Multi-Source Information Mining and Security, Guangxi Normal University, Guangxi Normal University, Zhejiang Gongshang University, China]"
Shichao Zhu,"[Institute of Information Engineering, Chinese Academy of Sciences]"
Shima Khoshraftar,[Unknown]
Shimin Di,"[Unknown, The Hong Kong University of Science and Technology]"
Shiming Xiang,"[Institute of Automation of Chinese Academy of Sciences, China]"
Shiming Zhang,"[Big Data Lab, Baidu Research, Big Data Lab, Baidu Research, USA]"
Shin Ando,"[Tokyo University of Science, Unknown, Tokyo University of Science, Japan]"
Shin-ichi Minato,[Kyoto University]
Shinichi Morishita,"[University of Tokyo, University of Tokyo, Japan]"
Shirish Shevade,"[Computer Science and Automation, Indian Institute of Science, Bangalore, India]"
Shirley Chen,"[University of California, Los Angeles]"
Shirui Pan,"[Professor, Griffith University, Australia, Griffith University, Monash University, Monash University, Australia]"
Shitong Xiao,[Unknown]
Shivam Gautam,[Unknown]
Shixiang Zhu,[Georgia Institute of Technology]
Shiyang Li,[UCSB]
Shiyu Liu,[Unknown]
Shizhe Hu,[Zhengzhou University]
Shobeir Fakhraei,[Amazon]
Shonosuke Harada,[Kyoto University]
Shou-De Lin,"[National Taiwan University, Taiwan, National Taiwan University]"
Shuai Li,"[Cambridge University, Cambridge University, UK]"
Shuai Ma,"[Beihang University, BUAA, China]"
Shuai Zhang,[ETH Zurich]
Shuang Hao,[Beijing Jiaotong University]
Shuang Song,[Unknown]
Shuang Yang,"[Alibaba Group, Ant Financial]"
Shuhan Yuan,[Utah State University]
Shuicheng Yan,"[Sea AI Lab, National University of Singapore, Singapore]"
Shuiguang Deng,"[College of Computer Science and Technology, Zhejiang University, College of Computer Science and Technology, Zhejiang University, China]"
Shuiwang Ji,[Texas A&M University]
Shuo Chen,[Unknown]
Shuo Lei,[Unknown]
Shuo Shang,"[KAUST, Inception Institute of Artificial Intelligence]"
Shuo Yang,"[Unknown, University of Sydney]"
Shuqing Bian,[Renmin University of China]
Shusaku Tsumoto,"[Shimane University, Shimane University, Japan]"
Shusen Wang,[Stevens Institute of Technology]
Shuwen Yang,[Unknown]
Shuyang Li,[UC San Diego]
Shuyang Yu,[Unknown]
Shuyi Yang,[Unknown]
Shuzhen Li,[Unknown]
Si Zhang,"[University of Illinois at Urbana-Champaign, USA]"
Sibo Wang,[The Chinese University of Hong Kong]
Sibylle Hess,"[TU Eindhoven, TU Dortmund University, Germany, Data Mining Group, TU Eindhoven]"
Siddharth Biswal,[Georgia Institute of Technology]
Siddhartha Bhattacharyya,"[University of Illinois, Chicago, University of Illinois, Chicago, USA]"
Sihong Xie,"[Lehigh University, Lehigh University, USA]"
Sijia Liu,"[MIT-IBM Watson AI Lab, IBM Research]"
Silvia Chiusano,"[Politecnico di Torino, Italy]"
Silvio Lattanzi,[Google]
Silviu Maniu,"[University of Paris-Saclay, Universite Paris-Sud]"
Simiao Zuo,[Georgia Institute of Technology]
Simone Ludwig,"[North Dakota State University, North Dakota State University, USA]"
Siqi Ren,[Unknown]
Sixiao Zhang,[Unknown]
Siyu Huang,"[Baidu Research, China]"
Sofia Fernandes,"[Inesc Tec, Laboratory of Artificial Intelligence and Decision Support]"
Son T. Mai,"[Queen's University Belfast, Queens University Belfast, Queens University Belfast, UK]"
Song Jiang,"[Department of Computer Science, University of California, Los Angeles]"
Song Wang,[University of Virginia]
Songmao Zhang,"[Professor, Chinese Academy of Sciences, China]"
Songqing Chen,[George Mason University]
Songtao He,[Massachusetts Institute of Technology]
Songyao Jiang,[Unknown]
Songyu Ke,[Shanghai Jiao Tong University]
Souhaib BEN TAIEB,[University of Mons]
